team_id,team_name,country
6249,Evolution,Ukraine
4519,NOD,Germany
5835,PB,Sweden
7179,Preparation.Yellow,Sweden
4799,GamerUniversity,Italy
5008,Courage,Ukraine
4609,KerchNET,Russia
4861,OBEY,Denmark
4807,"BX3 fe",Europe
7313,"New ReVoL",China
5053,AGENT,Norway
4939,teamKR,Germany
6555,"Orbit fe",Sweden
6793,CS-GO.rs,Serbia
5872,"Moscow Five",Russia
5740,InFamous,Australia
6165,Leader-1,"United States"
6295,Aposis,Norway
5290,TRIDENT,Australia
6128,"Jake Bube",Serbia
6562,"Pixel Hunters","South Africa"
7106,eUnited,"United States"
4540,"Clan Poland",Poland
5755,Cyprus,Cyprus
4684,Faith,Ukraine
6327,"Gdansk Lions",Poland
5831,Isak,Denmark
5804,HAXCON,Poland
5187,SCHUMMLER!,Germany
4589,"inFernity ladies","Czech Republic"
4639,NeverPlay,Germany
4809,Firstblood.dk,Denmark
6328,Distinct5,Poland
6382,"Sententia Mortis",Europe
6491,Galatics,Portugal
6790,HG,China
5842,"osku's team",Finland
7101,Comanche,CIS
5086,Exertus,"United States"
6081,"TJ'S HELTE",Denmark
4610,Rush3D,Russia
6511,"Various Artists",China
5653,MTW,Germany
7284,VG.Potential,China
6127,MiA,Slovenia
6129,mesport.hu,Hungary
6317,"hard'N'play",Ukraine
5970,GGWP,Belarus
5790,schlaegeros,Norway
5330,Pulse,France
5413,Avenue,Belgium
6551,NPME,Russia
6315,Palestine,Palestine
4476,"hiGhrollers ",Sweden
6794,KKona,Canada
6968,Supernova,Brazil
6130,AlienTech.Black,Portugal
6627,GODS.WIN,Iceland
6099,GIANT5,Croatia
4656,Lucidez,Denmark
4698,eSpuma,Denmark
4968,SENSEi,Serbia
6964,"Exotic Island",Portugal
6355,MOTV,Philippines
4812,Valkyries,Europe
4743,"SNOGARD Dragons",Austria
4844,iRAGE,Denmark
4887,Vikings,Denmark
6549,Handface,Ukraine
6412,uPGaming.hellfive,Portugal
6114,GLG,"United Kingdom"
6107,MASSACRE-ZONE,Slovenia
5577,A-Gaming,Ukraine
4944,b.s3x,Russia
7311,XFXQ,China
6616,Gathers,Brazil
6063,Badger,Norway
5648,"Just Deal With It",Finland
4484,Paranoia,Finland
5803,eliminacja,Poland
4553,ServerForge,Germany
6395,"XPRESIV'E",Lithuania
6282,"South Africa","South Africa"
7093,5Love.N4,China
5480,OneShot,Russia
6764,FlipSid3,"South Africa"
6083,"Property fe",Europe
6514,verying,China
7155,Pnda,"United States"
7055,Inside,"Czech Republic"
6391,GRS.GP,Serbia
4685,"Russian Roulette",Russia
